"","p_val","avg_diff","pct.1","pct.2","pct.diff"
"Arhgap36",1.84674554078424e-25,1.22410556217309,0.814,0.177,0.637
"Asb4",6.51179116958526e-31,1.44487340054782,0.943,0.359,0.584
"Hs3st4",7.32744002028845e-19,0.348902915151042,0.843,0.294,0.549
"Prkcq",3.31593180113003e-19,0.541720525493523,0.814,0.277,0.537
"St8sia2",5.60536433258397e-19,0.585722913700183,0.771,0.239,0.532
"Trh",1.8596738766215e-21,0.862606349216285,0.557,0.055,0.502
"Igsf1",8.65273347219712e-15,0.462733099097818,0.643,0.157,0.486
"Pax5",6.6812697430341e-12,0.565587811094174,0.714,0.259,0.455
"Prmt8",7.95236889086878e-12,0.366457120368991,0.829,0.379,0.45
"Prph",5.22177795612138e-11,0.5239049338231,0.7,0.262,0.438
"Fam19a2",1.94018868438285e-13,0.3384903687249,0.629,0.192,0.437
"Clic1",5.68150912863343e-12,0.523872506518077,0.614,0.192,0.422
"Fstl5",2.77986425591434e-10,0.287769336083796,0.743,0.327,0.416
"Adra2a",2.71776672936256e-09,0.37087504814857,0.686,0.287,0.399
"Slc6a1",1.54934167307281e-10,0.47328418082682,0.8,0.409,0.391
"Tmem176b",8.78771083759917e-10,0.465715995215596,0.886,0.501,0.385
"Vstm2l",2.20796508697558e-08,0.27233528287528,0.671,0.289,0.382
"Pou6f2",6.53973807890737e-13,0.563354629520463,0.486,0.105,0.381
"Tenm2",3.15139066855154e-20,0.927934872117116,1,0.628,0.372
"Tmem163",1.68612963203587e-11,0.535916208811751,0.929,0.559,0.37
"Hrh3",4.84352278506183e-09,0.284998096514213,0.914,0.556,0.358
"S100a16",2.94740702806042e-08,0.247316227721852,0.6,0.242,0.358
"Dpy19l1",2.69398284129687e-07,0.259640104998492,0.6,0.247,0.353
"Amigo2",1.84089276276154e-09,0.392381682700705,0.929,0.579,0.35
"Sh3bp4",8.14891260742365e-08,0.204674819344744,0.571,0.224,0.347
"Bcl11b",2.632446738929e-11,0.751245282583912,0.429,0.085,0.344
"Fnbp1l",5.09897901565419e-07,0.462943699754231,0.757,0.419,0.338
"Crym",3.74253332375075e-10,0.307759576357246,0.414,0.077,0.337
"Gad2",5.26919333975865e-08,0.36856545659791,0.871,0.534,0.337
"Ppp1r14c",1.39185647108158e-06,0.280940748558003,0.829,0.494,0.335
"Pdgfd",3.58472599092931e-09,0.392788938387242,0.429,0.1,0.329
"Ildr2",2.21858527990176e-07,0.463535669647907,0.857,0.529,0.328
"Peli2",4.20017579116949e-07,0.328701973930494,0.543,0.217,0.326
"Pou3f3",6.80161567510302e-07,0.405244504227918,0.614,0.289,0.325
