"","p_val","avg_diff","pct.1","pct.2","pct.diff"
"Pcdh19",6.22611601033106e-11,0.623405757090835,0.59,0.248,0.342
"Slit2",3.59215108440686e-07,0.237619382035105,0.55,0.267,0.283
"Calb2",5.13405442222944e-09,0.706653744977033,0.35,0.1,0.25
"Sema5a",1.2135272454612e-07,0.337212199895066,0.32,0.086,0.234
"Cnn3",1.29175853643323e-10,0.577344249823892,0.43,0.221,0.209
"Nefl",1.51717476485268e-06,0.359417884666466,0.68,0.482,0.198
"Utrn",1.92282511579994e-06,0.0410772312711736,0.34,0.154,0.186
"Snx30",1.06021919418422e-06,0.00699413042901709,0.39,0.253,0.137
"Gm11892",7.7268948888856e-09,0.142513126468713,0.25,0.121,0.129
"Trib2",5.5744227065839e-10,0.316830296847581,0.3,0.173,0.127
"Fbxo10",2.96120875351231e-08,-0.0340601006942709,0.35,0.235,0.115
"Chfr",4.09966099292663e-09,-0.109478257955056,0.35,0.248,0.102
"Rmnd5a",1.54113930796944e-06,-0.0890820706867602,0.5,0.399,0.101
"Gripap1",7.98226930100301e-07,0.35333226069499,0.47,0.372,0.098
"Dusp15",1.78304562165117e-07,-0.0610476575029429,0.2,0.111,0.089
"Dnttip2",9.35099431255818e-09,-0.151256636444306,0.25,0.162,0.088
"Parp6",1.27461002601633e-08,-0.0207996517308273,0.21,0.127,0.083
"Zfand1",6.0816741777272e-07,-0.012881686610141,0.17,0.092,0.078
"D430042O09Rik",7.4974304638769e-07,-0.0863192965428176,0.21,0.132,0.078
"X1110038B12Rik",1.2940812293535e-06,-0.0430233846011694,0.27,0.197,0.073
"Atp6ap2",5.95865463846621e-07,0.381415996069627,0.94,0.868,0.072
"Tle4",5.71152359214166e-07,-0.0863659103149945,0.42,0.35,0.07
"Esrra",3.32132370183306e-10,0.191810270570792,0.18,0.113,0.067
"Tatdn3",7.57370444799097e-07,-0.0405610458610067,0.22,0.154,0.066
"Clvs2",9.49799340984869e-08,-0.0648864213524108,0.27,0.205,0.065
"Hcn3",3.11840919503212e-08,-0.146236467646198,0.45,0.391,0.059
"Atg16l1",1.6932927741014e-06,-0.103737096406449,0.59,0.534,0.0559999999999999
"Hectd2",1.90467020487656e-06,-0.0712329601011617,0.28,0.229,0.051
"Mrpl37",1.14026482011402e-06,0.118191936315999,0.21,0.159,0.051
"Olfr95",6.87564977113811e-07,-0.0597096783575545,0.27,0.221,0.049
"Rab22a",9.95346783148506e-07,-0.18167997139927,0.4,0.353,0.047
"Naa10",7.58493122903123e-09,0.101338349861779,0.19,0.143,0.047
"Tfe3",4.39959519033469e-09,0.154219040486241,0.31,0.264,0.046
"Atp1b2",3.50143838290242e-08,-0.187915824300083,0.41,0.364,0.046
"Bud31",1.80057653935835e-06,0.266649380348929,0.31,0.267,0.043
"Vat1l",1.21168327338838e-08,-0.422575447064747,0.92,0.884,0.036
"Rabl2",5.01228233859826e-07,-0.102438645128531,0.33,0.294,0.036
"Isy1",1.14734426986405e-06,0.245161450555295,0.32,0.288,0.032
"Ttl",2.26040426814946e-08,-0.470981354175279,0.36,0.329,0.031
"D630023F18Rik",6.13959430534994e-09,0.0956147264012151,0.12,0.094,0.026
"Samm50",1.31706447775323e-08,-0.216449121146443,0.4,0.375,0.025
"X2810474O19Rik",1.57168225667693e-07,-0.149830902483696,0.25,0.226,0.024
"Otub2",1.80207672296278e-08,-0.125222805229171,0.19,0.17,0.02
"Naip5",6.02312624055822e-07,-0.0390999764670073,0.12,0.1,0.02
"Homer2",7.64502839924997e-07,-0.239234137727299,0.27,0.251,0.019
"Fam161b",4.94003865131459e-10,0.207073953298435,0.13,0.111,0.019
"Gm44271",2.06875106664244e-06,-0.0591182067086445,0.13,0.113,0.017
"Egln2",1.37091225278316e-06,0.284056094170885,0.29,0.275,0.015
"Tmem60",1.12150666194686e-08,-0.108242226813847,0.3,0.286,0.014
"Impact",1.39030073499585e-08,0.080949909312769,0.99,0.978,0.012
"Gm42547",1.33883688396246e-07,0.0528332328524624,0.11,0.108,0.002
"Ftsj1",2.09248671757874e-07,-0.16390489850686,0.26,0.261,-0.001
"Bmt2",1.12285703189573e-07,-0.124141536745596,0.3,0.302,-0.002
"X6720489N17Rik",1.56791593726002e-07,0.757366642932571,0.1,0.105,-0.00499999999999999
"Clip2",7.08099415907152e-07,-0.08918103935166,0.22,0.229,-0.00900000000000001
