Slit2,3.59E-07,0.237619382,0.55,0.267,0.283,980,,0.237619382,0.55,980
Calb2,5.13E-09,0.706653745,0.35,0.1,0.25,79556662,,0.706653745,0.35,79556662
Sema5a,1.21E-07,0.3372122,0.32,0.086,0.234,950,,0.3372122,0.32,950
Nefl,1.52E-06,0.359417885,0.68,0.482,0.198,73512198,,0.359417885,0.68,73512198
Utrn,1.92E-06,0.041077231,0.34,0.154,0.186,73929872,,0.041077231,0.34,73929872
Trib2,5.57E-10,0.316830297,0.3,0.173,0.127,71587811,,0.316830297,0.3,71587811
Tle4,5.71E-07,-0.08636591,0.42,0.35,0.07,73521809,,-0.08636591,0.42,73521809
Esrra,3.32E-10,0.191810271,0.18,0.113,0.067,1351,,0.191810271,0.18,1351
Clvs2,9.50E-08,-0.064886421,0.27,0.205,0.065,71924374,,-0.064886421,0.27,71924374
Hectd2,1.90E-06,-0.07123296,0.28,0.229,0.051,2002,,-0.07123296,0.28,2002
Atp1b2,3.50E-08,-0.187915824,0.41,0.364,0.046,74819255,,-0.187915824,0.41,74819255
Vat1l,1.21E-08,-0.422575447,0.92,0.884,0.036,75650860,,-0.422575447,0.92,75650860
Homer2,7.65E-07,-0.239234138,0.27,0.251,0.019,71015814,,-0.239234138,0.27,71015814
Impact,1.39E-08,0.080949909,0.99,0.978,0.012,594,,0.080949909,0.99,594
Clip2,7.08E-07,-0.089181039,0.22,0.229,-0.009,2137,,-0.089181039,0.22,2137
Sparcl1,1.11E-07,-0.766636387,0.83,0.846,-0.016,74750016,,-0.766636387,0.83,74750016
Fam3c,7.71E-07,-0.473698467,0.82,0.838,-0.018,75259443,,-0.473698467,0.82,75259443
Nfib,4.61E-07,-0.1768512,0.1,0.121,-0.021,1555,,-0.1768512,0.1,1555
Zbtb20,9.10E-07,-0.474132401,0.87,0.906,-0.036,1143,,-0.474132401,0.87,1143
Ctsl,2.47E-11,-0.639468387,0.79,0.876,-0.086,1187,,-0.639468387,0.79,1187
Gpc1,2.07E-11,0.080726236,0.14,0.232,-0.092,73994669,,0.080726236,0.14,73994669
Tenm2,2.44E-07,-0.65750637,0.58,0.712,-0.132,79591631,,-0.65750637,0.58,79591631
Trh,6.74E-07,-0.508542823,0,0.164,-0.164,71016631,,-0.508542823,0,71016631
Amigo2,1.89E-12,-0.721155126,0.47,0.674,-0.204,71250310,,-0.721155126,0.47,71250310
Sostdc1,2.78E-07,-0.25316409,0.03,0.253,-0.223,77874602,,-0.25316409,0.03,77874602
Gad2,1.02E-09,-0.783949656,0.4,0.633,-0.233,79591669,,-0.783949656,0.4,79591669
Fam19a2,1.63E-06,-0.3063109,0.07,0.307,-0.237,73636033,,-0.3063109,0.07,73636033
